id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data_inversa;;horario;;dia_semana;
858;,';Desobediência às normas de trânsito pelo condutor;',';Tombamento;',';Com Vítimas Feridas;',';22/09/2018;***;02:40:00;',';sábado;"');"
859;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';22/09/2018;***;21:15:00;',';sábado;"');"
860;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Fatais;',';23/09/2018;***;02:30:00;',';domingo;"');"
861;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';23/09/2018;***;17:50:00;',';domingo;"');"
862;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';07/08/2018;***;02:45:00;',';terça-feira;"');"
863;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';25/09/2018;***;07:15:00;',';terça-feira;"');"
864;,';Objeto estático sobre o leito carroçável;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';26/09/2018;***;20:15:00;',';quarta-feira;"');"
865;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';26/09/2018;***;23:45:00;',';quarta-feira;"');"
866;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Com Vítimas Fatais;',';27/09/2018;***;21:00:00;',';quinta-feira;"');"
867;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';28/09/2018;***;07:20:00;',';sexta-feira;"');"
868;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Sem Vítimas;',';28/09/2018;***;12:45:00;',';sexta-feira;"');"
869;,';Objeto estático sobre o leito carroçável;',';Incêndio;',';Sem Vítimas;',';28/09/2018;***;20:35:00;',';sexta-feira;"');"
870;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Fatais;',';29/09/2018;***;05:30:00;',';sábado;"');"
871;,';Objeto estático sobre o leito carroçável;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';29/09/2018;***;21:30:00;',';sábado;"');"
872;,';Objeto estático sobre o leito carroçável;',';Colisão com objeto em movimento;',';Sem Vítimas;',';30/09/2018;***;14:30:00;',';domingo;"');"
873;,';Velocidade Incompatível;',';Colisão lateral;',';Com Vítimas Feridas;',';01/10/2018;***;13:30:00;',';segunda-feira;"');"
874;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',';01/10/2018;***;14:00:00;',';segunda-feira;"');"
875;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';02/10/2018;***;09:55:00;',';terça-feira;"');"
876;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';02/10/2018;***;06:30:00;',';terça-feira;"');"
877;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Fatais;',';03/09/2018;***;06:18:00;',';segunda-feira;"');"
878;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';03/10/2018;***;14:15:00;',';quarta-feira;"');"
879;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';03/10/2018;***;18:45:00;',';quarta-feira;"');"
880;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';03/10/2018;***;19:30:00;',';quarta-feira;"');"
881;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',';04/10/2018;***;06:50:00;',';quinta-feira;"');"
882;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';04/10/2018;***;11:50:00;',';quinta-feira;"');"
883;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';04/10/2018;***;17:40:00;',';quinta-feira;"');"
884;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';04/10/2018;***;22:25:00;',';quinta-feira;"');"
885;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';05/10/2018;***;00:15:00;',';sexta-feira;"');"
886;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';05/10/2018;***;06:45:00;',';sexta-feira;"');"
887;,';Desobediência às normas de trânsito pelo condutor;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';05/10/2018;***;17:20:00;',';sexta-feira;"');"
888;,';Ingestão de Álcool;',';Colisão lateral;',';Com Vítimas Feridas;',';06/10/2018;***;16:45:00;',';sábado;"');"
889;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';08/10/2018;***;07:50:00;',';segunda-feira;"');"
890;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';08/10/2018;***;12:30:00;',';segunda-feira;"');"
891;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';08/10/2018;***;13:00:00;',';segunda-feira;"');"
892;,';Carga excessiva e/ou mal acondicionada;',';Tombamento;',';Com Vítimas Feridas;',';08/10/2018;***;18:10:00;',';segunda-feira;"');"
893;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';09/10/2018;***;04:45:00;',';terça-feira;"');"
894;,';Desobediência às normas de trânsito pelo condutor;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';09/10/2018;***;06:10:00;',';terça-feira;"');"
895;,';Mal Súbito;',';Colisão lateral;',';Com Vítimas Feridas;',';09/10/2018;***;08:20:00;',';terça-feira;"');"
896;,';Pista Escorregadia;',';Colisão frontal;',';Com Vítimas Feridas;',';09/10/2018;***;16:05:00;',';terça-feira;"');"
897;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';10/10/2018;***;09:10:00;',';quarta-feira;"');"
898;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';10/10/2018;***;11:50:00;',';quarta-feira;"');"
899;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';10/10/2018;***;16:40:00;',';quarta-feira;"');"
900;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';10/10/2018;***;16:50:00;',';quarta-feira;"');"
901;,';Defeito Mecânico no Veículo;',';Colisão transversal;',';Com Vítimas Feridas;',';10/10/2018;***;21:10:00;',';quarta-feira;"');"
902;,';Desobediência às normas de trânsito pelo pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';11/10/2018;***;04:30:00;',';quinta-feira;"');"
903;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';11/10/2018;***;09:30:00;',';quinta-feira;"');"
904;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';11/10/2018;***;07:30:00;',';quinta-feira;"');"
905;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';11/10/2018;***;04:15:00;',';quinta-feira;"');"
906;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';11/10/2018;***;15:35:00;',';quinta-feira;"');"
907;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';11/10/2018;***;18:30:00;',';quinta-feira;"');"
908;,';Ingestão de Álcool;',';Colisão com objeto estático;',';Sem Vítimas;',';12/10/2018;***;02:40:00;',';sexta-feira;"');"
909;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';12/10/2018;***;08:15:00;',';sexta-feira;"');"
910;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',';12/10/2018;***;15:45:00;',';sexta-feira;"');"
911;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Feridas;',';12/10/2018;***;07:30:00;',';sexta-feira;"');"
912;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';14/10/2018;***;15:30:00;',';domingo;"');"
913;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';21/06/2018;***;14:31:00;',';quinta-feira;"');"
914;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',';14/10/2018;***;23:05:00;',';domingo;"');"
915;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';15/10/2018;***;10:05:00;',';segunda-feira;"');"
916;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';15/10/2018;***;06:00:00;',';segunda-feira;"');"
917;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';15/10/2018;***;09:15:00;',';segunda-feira;"');"
918;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';16/10/2018;***;03:05:00;',';terça-feira;"');"
919;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';16/10/2018;***;16:10:00;',';terça-feira;"');"
920;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';16/10/2018;***;21:20:00;',';terça-feira;"');"
921;,';Velocidade Incompatível;',';Derramamento de carga;',';Sem Vítimas;',';17/10/2018;***;06:10:00;',';quarta-feira;"');"
922;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';17/10/2018;***;17:20:00;',';quarta-feira;"');"
923;,';Objeto estático sobre o leito carroçável;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';18/10/2018;***;04:25:00;',';quinta-feira;"');"
924;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';18/10/2018;***;07:55:00;',';quinta-feira;"');"
925;,';Defeito Mecânico no Veículo;',';Tombamento;',';Com Vítimas Feridas;',';18/10/2018;***;21:40:00;',';quinta-feira;"');"
926;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';19/10/2018;***;07:00:00;',';sexta-feira;"');"
927;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',';19/10/2018;***;16:10:00;',';sexta-feira;"');"
928;,';Animais na Pista;',';Atropelamento de Animal;',';Com Vítimas Feridas;',';19/10/2018;***;20:15:00;',';sexta-feira;"');"
929;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';20/10/2018;***;03:00:00;',';sábado;"');"
930;,';Ingestão de Álcool;',';Saída de leito carroçável;',';Sem Vítimas;',';21/10/2018;***;01:30:00;',';domingo;"');"
931;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';21/10/2018;***;19:35:00;',';domingo;"');"
932;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';21/10/2018;***;16:25:00;',';domingo;"');"
933;,';Ingestão de Álcool;',';Colisão lateral;',';Com Vítimas Feridas;',';21/10/2018;***;23:48:00;',';domingo;"');"
934;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';22/10/2018;***;01:30:00;',';segunda-feira;"');"
935;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';22/10/2018;***;19:00:00;',';segunda-feira;"');"
936;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',';23/10/2018;***;14:25:00;',';terça-feira;"');"
937;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';23/10/2018;***;12:00:00;',';terça-feira;"');"
938;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';23/10/2018;***;21:30:00;',';terça-feira;"');"
939;,';Animais na Pista;',';Colisão traseira;',';Com Vítimas Feridas;',';24/10/2018;***;10:55:00;',';quarta-feira;"');"
940;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';24/10/2018;***;11:30:00;',';quarta-feira;"');"
941;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';24/10/2018;***;17:00:00;',';quarta-feira;"');"
942;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';25/10/2018;***;11:20:00;',';quinta-feira;"');"
943;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',';25/10/2018;***;10:30:00;',';quinta-feira;"');"
944;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';25/10/2018;***;18:00:00;',';quinta-feira;"');"
945;,';Mal Súbito;',';Colisão lateral;',';Sem Vítimas;',';25/10/2018;***;19:20:00;',';quinta-feira;"');"
946;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';25/10/2018;***;19:50:00;',';quinta-feira;"');"
947;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';18/10/2018;***;08:40:00;',';quinta-feira;"');"
948;,';Velocidade Incompatível;',';Engavetamento;',';Sem Vítimas;',';26/10/2018;***;16:15:00;',';sexta-feira;"');"
949;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';26/10/2018;***;17:50:00;',';sexta-feira;"');"
950;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';26/10/2018;***;19:35:00;',';sexta-feira;"');"
951;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';27/10/2018;***;07:25:00;',';sábado;"');"
952;,';Ingestão de Álcool;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';27/10/2018;***;18:47:00;',';sábado;"');"
953;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';29/10/2018;***;01:45:00;',';segunda-feira;"');"
954;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',';29/10/2018;***;06:05:00;',';segunda-feira;"');"
955;,';Velocidade Incompatível;',';Capotamento;',';Com Vítimas Feridas;',';29/10/2018;***;07:45:00;',';segunda-feira;"');"
956;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';29/10/2018;***;10:50:00;',';segunda-feira;"');"
957;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';29/10/2018;***;17:00:00;',';segunda-feira;"');"
958;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';30/10/2018;***;17:40:00;',';terça-feira;"');"
959;,';Desobediência às normas de trânsito pelo condutor;',';Capotamento;',';Com Vítimas Feridas;',';31/10/2018;***;18:00:00;',';quarta-feira;"');"
960;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';31/10/2018;***;19:05:00;',';quarta-feira;"');"
961;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Fatais;',';02/11/2018;***;02:30:00;',';sexta-feira;"');"
962;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';03/11/2018;***;07:05:00;',';sábado;"');"
963;,';Não guardar distância de segurança;',';Colisão lateral;',';Sem Vítimas;',';05/11/2018;***;07:00:00;',';segunda-feira;"');"
964;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';05/11/2018;***;08:17:00;',';segunda-feira;"');"
965;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Fatais;',';05/11/2018;***;09:00:00;',';segunda-feira;"');"
966;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';06/11/2018;***;02:35:00;',';terça-feira;"');"
967;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';06/11/2018;***;07:50:00;',';terça-feira;"');"
968;,';Não guardar distância de segurança;',';Engavetamento;',';Com Vítimas Fatais;',';06/11/2018;***;09:20:00;',';terça-feira;"');"
969;,';Defeito Mecânico no Veículo;',';Tombamento;',';Com Vítimas Feridas;',';07/11/2018;***;06:50:00;',';quarta-feira;"');"
970;,';Não guardar distância de segurança;',';Engavetamento;',';Com Vítimas Feridas;',';01/11/2018;***;18:30:00;',';quinta-feira;"');"
971;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';08/11/2018;***;04:00:00;',';quinta-feira;"');"
972;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';08/11/2018;***;09:50:00;',';quinta-feira;"');"
973;,';Condutor Dormindo;',';Tombamento;',';Com Vítimas Feridas;',';08/11/2018;***;15:40:00;',';quinta-feira;"');"
974;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';08/11/2018;***;20:20:00;',';quinta-feira;"');"
975;,';Animais na Pista;',';Atropelamento de Animal;',';Sem Vítimas;',';09/11/2018;***;01:25:00;',';sexta-feira;"');"
976;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';09/11/2018;***;06:30:00;',';sexta-feira;"');"
977;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';09/11/2018;***;10:15:00;',';sexta-feira;"');"
978;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';27/10/2018;***;00:40:00;',';sábado;"');"
979;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',';09/11/2018;***;18:30:00;',';sexta-feira;"');"
980;,';Falta de Atenção à Condução;',';Derramamento de carga;',';Sem Vítimas;',';10/11/2018;***;11:00:00;',';sábado;"');"
981;,';Não guardar distância de segurança;',';Colisão lateral;',';Com Vítimas Feridas;',';10/11/2018;***;12:15:00;',';sábado;"');"
982;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',';10/11/2018;***;14:30:00;',';sábado;"');"
983;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',';11/11/2018;***;02:00:00;',';domingo;"');"
984;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Feridas;',';11/11/2018;***;22:00:00;',';domingo;"');"
985;,';Condutor Dormindo;',';Colisão com objeto estático;',';Sem Vítimas;',';11/11/2018;***;22:30:00;',';domingo;"');"
986;,';Objeto estático sobre o leito carroçável;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';12/11/2018;***;05:35:00;',';segunda-feira;"');"
987;,';Defeito Mecânico no Veículo;',';Colisão com objeto estático;',';Sem Vítimas;',';12/11/2018;***;18:00:00;',';segunda-feira;"');"
988;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';13/11/2018;***;17:10:00;',';terça-feira;"');"
989;,';Animais na Pista;',';Atropelamento de Animal;',';Sem Vítimas;',';13/11/2018;***;22:00:00;',';terça-feira;"');"
990;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';14/11/2018;***;04:45:00;',';quarta-feira;"');"
991;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';14/11/2018;***;11:50:00;',';quarta-feira;"');"
992;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Fatais;',';14/11/2018;***;16:30:00;',';quarta-feira;"');"
993;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';14/11/2018;***;16:30:00;',';quarta-feira;"');"
994;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',';14/11/2018;***;20:45:00;',';quarta-feira;"');"
995;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Com Vítimas Feridas;',';14/11/2018;***;21:45:00;',';quarta-feira;"');"
996;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';15/11/2018;***;08:55:00;',';quinta-feira;"');"
997;,';Mal Súbito;',';Colisão lateral;',';Com Vítimas Feridas;',';15/11/2018;***;12:55:00;',';quinta-feira;"');"
998;,';Ingestão de Álcool;',';Colisão frontal;',';Sem Vítimas;',';15/11/2018;***;20:15:00;',';quinta-feira;"');"
999;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';16/11/2018;***;13:45:00;',';sexta-feira;"');"
1000;,';Avarias e/ou desgaste excessivo no pneu;',';Colisão com objeto em movimento;',';Sem Vítimas;',';13/11/2018;***;18:00:00;',';terça-feira;"');"
1001;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';17/11/2018;***;10:40:00;',';sábado;"');"
1002;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';17/11/2018;***;13:50:00;',';sábado;"');"
1003;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Fatais;',';17/11/2018;***;14:00:00;',';sábado;"');"
1004;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';18/11/2018;***;10:40:00;',';domingo;"');"
1005;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';18/11/2018;***;18:10:00;',';domingo;"');"
1006;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';18/11/2018;***;23:00:00;',';domingo;"');"
1007;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';19/11/2018;***;18:30:00;',';segunda-feira;"');"
1008;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';20/11/2018;***;11:05:00;',';terça-feira;"');"
1009;,';Restrição de Visibilidade;',';Colisão transversal;',';Com Vítimas Fatais;',';20/11/2018;***;10:40:00;',';terça-feira;"');"
1010;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';20/11/2018;***;12:05:00;',';terça-feira;"');"
1011;,';Não guardar distância de segurança;',';Colisão lateral;',';Com Vítimas Feridas;',';20/11/2018;***;17:25:00;',';terça-feira;"');"
1012;,';Defeito Mecânico no Veículo;',';Engavetamento;',';Sem Vítimas;',';20/11/2018;***;18:55:00;',';terça-feira;"');"
1013;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';21/11/2018;***;10:40:00;',';quarta-feira;"');"
1014;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';21/11/2018;***;13:30:00;',';quarta-feira;"');"
1015;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';21/11/2018;***;14:25:00;',';quarta-feira;"');"
1016;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';21/11/2018;***;16:00:00;',';quarta-feira;"');"
1017;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';21/11/2018;***;16:00:00;',';quarta-feira;"');"
1018;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';22/11/2018;***;07:30:00;',';quinta-feira;"');"
1019;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';22/11/2018;***;05:00:00;',';quinta-feira;"');"
1020;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';22/11/2018;***;17:15:00;',';quinta-feira;"');"
1021;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';22/11/2018;***;07:00:00;',';quinta-feira;"');"
1022;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';22/11/2018;***;18:50:00;',';quinta-feira;"');"
1023;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';23/11/2018;***;06:00:00;',';sexta-feira;"');"
1024;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';23/11/2018;***;07:10:00;',';sexta-feira;"');"
1025;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';23/11/2018;***;07:00:00;',';sexta-feira;"');"
1026;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';23/11/2018;***;14:00:00;',';sexta-feira;"');"
1027;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Fatais;',';23/11/2018;***;14:10:00;',';sexta-feira;"');"
1028;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';23/11/2018;***;18:40:00;',';sexta-feira;"');"
1029;,';Ultrapassagem Indevida;',';Colisão lateral;',';Com Vítimas Feridas;',';23/11/2018;***;19:30:00;',';sexta-feira;"');"
1030;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';23/11/2018;***;17:20:00;',';sexta-feira;"');"
1031;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';24/11/2018;***;05:45:00;',';sábado;"');"
1032;,';Ingestão de Álcool;',';Colisão traseira;',';Sem Vítimas;',';24/11/2018;***;06:00:00;',';sábado;"');"
1033;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Fatais;',';24/11/2018;***;06:25:00;',';sábado;"');"
1034;,';Fenômenos da Natureza;',';Tombamento;',';Com Vítimas Feridas;',';23/11/2018;***;23:45:00;',';sexta-feira;"');"
1035;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';24/11/2018;***;06:45:00;',';sábado;"');"
1036;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';24/11/2018;***;08:35:00;',';sábado;"');"
1037;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',';24/11/2018;***;11:45:00;',';sábado;"');"
1038;,';Velocidade Incompatível;',';Colisão lateral;',';Com Vítimas Fatais;',';25/11/2018;***;14:00:00;',';domingo;"');"
1039;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';26/11/2018;***;15:45:00;',';segunda-feira;"');"
1040;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';26/11/2018;***;23:45:00;',';segunda-feira;"');"
1041;,';Condutor Dormindo;',';Tombamento;',';Com Vítimas Feridas;',';27/11/2018;***;01:50:00;',';terça-feira;"');"
1042;,';Não guardar distância de segurança;',';Colisão lateral;',';Com Vítimas Feridas;',';28/11/2018;***;08:50:00;',';quarta-feira;"');"
1043;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';28/11/2018;***;12:45:00;',';quarta-feira;"');"
1044;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';29/11/2018;***;14:45:00;',';quinta-feira;"');"
1045;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';29/11/2018;***;12:10:00;',';quinta-feira;"');"
1046;,';Ultrapassagem Indevida;',';Colisão lateral;',';Com Vítimas Feridas;',';30/11/2018;***;14:50:00;',';sexta-feira;"');"
1047;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';30/11/2018;***;20:45:00;',';sexta-feira;"');"
1048;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';23/10/2018;***;17:15:00;',';terça-feira;"');"
1049;,';Velocidade Incompatível;',';Colisão transversal;',';Com Vítimas Fatais;',';01/12/2018;***;11:50:00;',';sábado;"');"
1050;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Feridas;',';01/12/2018;***;20:40:00;',';sábado;"');"
1051;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';01/12/2018;***;19:15:00;',';sábado;"');"
1052;,';Condutor Dormindo;',';Colisão lateral;',';Sem Vítimas;',';02/12/2018;***;01:40:00;',';domingo;"');"
1053;,';Ingestão de Álcool;',';Colisão com objeto estático;',';Sem Vítimas;',';03/12/2018;***;01:30:00;',';segunda-feira;"');"
1054;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';03/12/2018;***;08:25:00;',';segunda-feira;"');"
