id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data;;horario;;dia_semana;
1899;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';20/04/2018;***;17:20:00;',';sexta-feira;"');"
1900;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';20/04/2018;***;23:30:00;',';sexta-feira;"');"
1901;,';Defeito Mecânico no Veículo;',';Tombamento;',';Sem Vítimas;',';20/04/2018;***;23:00:00;',';sexta-feira;"');"
1902;,';Ingestão de Álcool;',';Colisão frontal;',';Sem Vítimas;',';21/04/2018;***;00:10:00;',';sábado;"');"
1903;,';Carga excessiva e/ou mal acondicionada;',';Danos eventuais;',';Com Vítimas Feridas;',';20/04/2018;***;22:55:00;',';sexta-feira;"');"
1904;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Feridas;',';21/04/2018;***;05:45:00;',';sábado;"');"
1905;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';21/04/2018;***;05:50:00;',';sábado;"');"
1906;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';14/03/2018;***;14:40:00;',';quarta-feira;"');"
1907;,';Pista Escorregadia;',';Saída de leito carroçável;',';Sem Vítimas;',';21/04/2018;***;09:30:00;',';sábado;"');"
1908;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';21/04/2018;***;12:50:00;',';sábado;"');"
1909;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';21/04/2018;***;16:00:00;',';sábado;"');"
1910;,';Desobediência às normas de trânsito pelo condutor;',';Tombamento;',';Com Vítimas Fatais;',';21/04/2018;***;13:30:00;',';sábado;"');"
1911;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';21/04/2018;***;15:50:00;',';sábado;"');"
1912;,';Desobediência às normas de trânsito pelo condutor;',';Tombamento;',';Com Vítimas Fatais;',';21/04/2018;***;17:57:00;',';sábado;"');"
1913;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';21/04/2018;***;18:30:00;',';sábado;"');"
1914;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';21/04/2018;***;14:30:00;',';sábado;"');"
1915;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';21/04/2018;***;15:30:00;',';sábado;"');"
1916;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';21/04/2018;***;18:45:00;',';sábado;"');"
1917;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Feridas;',';21/04/2018;***;22:30:00;',';sábado;"');"
1918;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';19/04/2018;***;07:00:00;',';quinta-feira;"');"
1919;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Sem Vítimas;',';21/04/2018;***;21:50:00;',';sábado;"');"
1920;,';Não guardar distância de segurança;',';Colisão lateral;',';Com Vítimas Feridas;',';22/04/2018;***;10:45:00;',';domingo;"');"
1921;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';22/04/2018;***;15:50:00;',';domingo;"');"
1922;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Fatais;',';22/04/2018;***;19:45:00;',';domingo;"');"
1923;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';22/04/2018;***;22:10:00;',';domingo;"');"
1924;,';Pista Escorregadia;',';Saída de leito carroçável;',';Sem Vítimas;',';23/04/2018;***;06:30:00;',';segunda-feira;"');"
1925;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';23/04/2018;***;07:40:00;',';segunda-feira;"');"
1926;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';23/04/2018;***;07:40:00;',';segunda-feira;"');"
1927;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';23/04/2018;***;07:40:00;',';segunda-feira;"');"
1928;,';Defeito Mecânico no Veículo;',';Colisão com objeto em movimento;',';Sem Vítimas;',';23/04/2018;***;14:15:00;',';segunda-feira;"');"
1929;,';Desobediência às normas de trânsito pelo condutor;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';23/04/2018;***;12:00:00;',';segunda-feira;"');"
1930;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';23/04/2018;***;09:05:00;',';segunda-feira;"');"
1931;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Feridas;',';23/04/2018;***;15:50:00;',';segunda-feira;"');"
1932;,';Não guardar distância de segurança;',';Engavetamento;',';Com Vítimas Feridas;',';23/04/2018;***;15:45:00;',';segunda-feira;"');"
1933;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Com Vítimas Feridas;',';23/04/2018;***;17:12:00;',';segunda-feira;"');"
1934;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',';23/04/2018;***;13:30:00;',';segunda-feira;"');"
1935;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';23/04/2018;***;12:00:00;',';segunda-feira;"');"
1936;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',';23/04/2018;***;18:50:00;',';segunda-feira;"');"
1937;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';24/04/2018;***;00:20:00;',';terça-feira;"');"
1938;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';23/04/2018;***;16:00:00;',';segunda-feira;"');"
1939;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';24/04/2018;***;06:15:00;',';terça-feira;"');"
1940;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';24/04/2018;***;06:15:00;',';terça-feira;"');"
1941;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';24/04/2018;***;08:30:00;',';terça-feira;"');"
1942;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';24/04/2018;***;09:50:00;',';terça-feira;"');"
1943;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';24/04/2018;***;10:40:00;',';terça-feira;"');"
1944;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';13/04/2018;***;05:00:00;',';sexta-feira;"');"
1945;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',';24/04/2018;***;16:30:00;',';terça-feira;"');"
1946;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';24/04/2018;***;17:25:00;',';terça-feira;"');"
1947;,';Carga excessiva e/ou mal acondicionada;',';Colisão lateral;',';Com Vítimas Feridas;',';24/04/2018;***;17:45:00;',';terça-feira;"');"
1948;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',';24/04/2018;***;19:08:00;',';terça-feira;"');"
1949;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';24/04/2018;***;21:00:00;',';terça-feira;"');"
1950;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';24/04/2018;***;20:35:00;',';terça-feira;"');"
1951;,';Falta de Atenção à Condução;',';Danos eventuais;',';Sem Vítimas;',';25/04/2018;***;01:15:00;',';quarta-feira;"');"
1952;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';25/04/2018;***;01:00:00;',';quarta-feira;"');"
1953;,';Condutor Dormindo;',';Tombamento;',';Com Vítimas Feridas;',';25/04/2018;***;01:15:00;',';quarta-feira;"');"
1954;,';Defeito Mecânico no Veículo;',';Tombamento;',';Com Vítimas Feridas;',';25/04/2018;***;06:40:00;',';quarta-feira;"');"
1955;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',';25/04/2018;***;08:20:00;',';quarta-feira;"');"
1956;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';25/04/2018;***;10:45:00;',';quarta-feira;"');"
1957;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';25/04/2018;***;11:55:00;',';quarta-feira;"');"
1958;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';25/04/2018;***;11:30:00;',';quarta-feira;"');"
1959;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';25/04/2018;***;17:54:00;',';quarta-feira;"');"
1960;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Fatais;',';25/04/2018;***;19:50:00;',';quarta-feira;"');"
1961;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';25/04/2018;***;20:00:00;',';quarta-feira;"');"
1962;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';26/04/2018;***;02:30:00;',';quinta-feira;"');"
1963;,';Condutor Dormindo;',';Tombamento;',';Com Vítimas Feridas;',';26/04/2018;***;04:40:00;',';quinta-feira;"');"
1964;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';26/04/2018;***;05:30:00;',';quinta-feira;"');"
1965;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';25/04/2018;***;22:00:00;',';quarta-feira;"');"
1966;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';25/04/2018;***;19:30:00;',';quarta-feira;"');"
1967;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Fatais;',';26/04/2018;***;06:55:00;',';quinta-feira;"');"
1968;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';02/03/2018;***;04:30:00;',';sexta-feira;"');"
1969;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';26/04/2018;***;09:05:00;',';quinta-feira;"');"
1970;,';Condutor Dormindo;',';Colisão com objeto estático;',';Sem Vítimas;',';26/04/2018;***;03:40:00;',';quinta-feira;"');"
1971;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';25/04/2018;***;16:35:00;',';quarta-feira;"');"
1972;,';Carga excessiva e/ou mal acondicionada;',';Colisão com objeto em movimento;',';Com Vítimas Feridas;',';26/04/2018;***;16:00:00;',';quinta-feira;"');"
1973;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';26/04/2018;***;17:12:00;',';quinta-feira;"');"
1974;,';Defeito Mecânico no Veículo;',';Capotamento;',';Com Vítimas Feridas;',';26/04/2018;***;18:30:00;',';quinta-feira;"');"
1975;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';26/04/2018;***;23:00:00;',';quinta-feira;"');"
1976;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';26/04/2018;***;21:35:00;',';quinta-feira;"');"
1977;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',';27/04/2018;***;00:50:00;',';sexta-feira;"');"
1978;,';Falta de Atenção à Condução;',';Queda de ocupante de veículo;',';Com Vítimas Feridas;',';26/04/2018;***;16:30:00;',';quinta-feira;"');"
1979;,';Agressão Externa;',';Colisão frontal;',';Com Vítimas Feridas;',';27/04/2018;***;06:10:00;',';sexta-feira;"');"
1980;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';27/04/2018;***;06:45:00;',';sexta-feira;"');"
1981;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';27/04/2018;***;06:30:00;',';sexta-feira;"');"
1982;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';27/04/2018;***;09:45:00;',';sexta-feira;"');"
1983;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';27/04/2018;***;14:10:00;',';sexta-feira;"');"
1984;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';27/04/2018;***;13:30:00;',';sexta-feira;"');"
1985;,';Defeito Mecânico no Veículo;',';Derramamento de carga;',';Sem Vítimas;',';27/04/2018;***;19:00:00;',';sexta-feira;"');"
1986;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Fatais;',';27/04/2018;***;21:45:00;',';sexta-feira;"');"
1987;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';27/04/2018;***;18:20:00;',';sexta-feira;"');"
1988;,';Ingestão de Álcool;',';Saída de leito carroçável;',';Sem Vítimas;',';28/04/2018;***;05:48:00;',';sábado;"');"
1989;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';28/04/2018;***;05:50:00;',';sábado;"');"
1990;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';28/04/2018;***;07:40:00;',';sábado;"');"
1991;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';28/04/2018;***;09:20:00;',';sábado;"');"
1992;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Feridas;',';28/04/2018;***;08:40:00;',';sábado;"');"
1993;,';Velocidade Incompatível;',';Derramamento de carga;',';Com Vítimas Feridas;',';28/04/2018;***;08:40:00;',';sábado;"');"
1994;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';28/04/2018;***;13:40:00;',';sábado;"');"
1995;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';28/04/2018;***;17:40:00;',';sábado;"');"
1996;,';Velocidade Incompatível;',';Colisão frontal;',';Sem Vítimas;',';28/04/2018;***;16:25:00;',';sábado;"');"
1997;,';Animais na Pista;',';Atropelamento de Animal;',';Com Vítimas Feridas;',';29/04/2018;***;03:45:00;',';domingo;"');"
1998;,';Ingestão de Álcool;',';Engavetamento;',';Com Vítimas Feridas;',';29/04/2018;***;05:30:00;',';domingo;"');"
1999;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';29/04/2018;***;14:45:00;',';domingo;"');"
2000;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';29/04/2018;***;15:17:00;',';domingo;"');"
2001;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';29/04/2018;***;15:45:00;',';domingo;"');"
2002;,';Falta de Atenção à Condução;',';Capotamento;',';Com Vítimas Feridas;',';29/04/2018;***;17:15:00;',';domingo;"');"
2003;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Fatais;',';29/04/2018;***;16:50:00;',';domingo;"');"
2004;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Feridas;',';08/04/2018;***;07:56:00;',';domingo;"');"
2005;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Feridas;',';29/04/2018;***;18:40:00;',';domingo;"');"
2006;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Fatais;',';29/04/2018;***;19:05:00;',';domingo;"');"
2007;,';Sinalização da via insuficiente ou inadequada;',';Tombamento;',';Sem Vítimas;',';29/04/2018;***;20:40:00;',';domingo;"');"
2008;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Fatais;',';29/04/2018;***;23:55:00;',';domingo;"');"
2009;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';30/04/2018;***;00:05:00;',';segunda-feira;"');"
2010;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';30/04/2018;***;05:30:00;',';segunda-feira;"');"
2011;,';Mal Súbito;',';Colisão lateral;',';Com Vítimas Feridas;',';30/04/2018;***;07:05:00;',';segunda-feira;"');"
2012;,';Fenômenos da Natureza;',';Colisão traseira;',';Com Vítimas Feridas;',';30/04/2018;***;07:35:00;',';segunda-feira;"');"
2013;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';30/04/2018;***;10:15:00;',';segunda-feira;"');"
2014;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';30/04/2018;***;10:40:00;',';segunda-feira;"');"
2015;,';Ultrapassagem Indevida;',';Colisão lateral;',';Com Vítimas Fatais;',';30/04/2018;***;11:00:00;',';segunda-feira;"');"
2016;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';30/04/2018;***;14:30:00;',';segunda-feira;"');"
2017;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';30/04/2018;***;16:35:00;',';segunda-feira;"');"
2018;,';Ingestão de Álcool;',';Colisão transversal;',';Com Vítimas Feridas;',';30/04/2018;***;18:20:00;',';segunda-feira;"');"
2019;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';18/04/2018;***;04:30:00;',';quarta-feira;"');"
2020;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';30/04/2018;***;20:00:00;',';segunda-feira;"');"
2021;,';Velocidade Incompatível;',';Colisão frontal;',';Sem Vítimas;',';30/04/2018;***;18:55:00;',';segunda-feira;"');"
2022;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';30/04/2018;***;20:40:00;',';segunda-feira;"');"
2023;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Feridas;',';30/04/2018;***;20:30:00;',';segunda-feira;"');"
2024;,';Defeito Mecânico no Veículo;',';Danos eventuais;',';Sem Vítimas;',';01/05/2018;***;01:50:00;',';terça-feira;"');"
2025;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';01/05/2018;***;10:50:00;',';terça-feira;"');"
2026;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';01/05/2018;***;17:30:00;',';terça-feira;"');"
2027;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';01/05/2018;***;14:30:00;',';terça-feira;"');"
2028;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';01/05/2018;***;18:30:00;',';terça-feira;"');"
2029;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',';01/05/2018;***;18:45:00;',';terça-feira;"');"
2030;,';Defeito Mecânico no Veículo;',';Tombamento;',';Com Vítimas Feridas;',';01/05/2018;***;14:45:00;',';terça-feira;"');"
2031;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';02/05/2018;***;07:45:00;',';quarta-feira;"');"
2032;,';Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo;',';Colisão frontal;',';Com Vítimas Feridas;',';02/05/2018;***;06:20:00;',';quarta-feira;"');"
2033;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';02/05/2018;***;08:25:00;',';quarta-feira;"');"
2034;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';02/05/2018;***;06:35:00;',';quarta-feira;"');"
2035;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';02/05/2018;***;13:20:00;',';quarta-feira;"');"
2036;,';Ingestão de álcool e/ou substâncias psicoativas pelo pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';02/05/2018;***;14:35:00;',';quarta-feira;"');"
2037;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';02/05/2018;***;17:00:00;',';quarta-feira;"');"
2038;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';02/05/2018;***;19:25:00;',';quarta-feira;"');"
2039;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';02/05/2018;***;18:20:00;',';quarta-feira;"');"
2040;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Com Vítimas Feridas;',';02/05/2018;***;19:30:00;',';quarta-feira;"');"
2041;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';02/05/2018;***;20:20:00;',';quarta-feira;"');"
2042;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';02/05/2018;***;21:50:00;',';quarta-feira;"');"
2043;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';03/05/2018;***;06:30:00;',';quinta-feira;"');"
2044;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';03/05/2018;***;06:00:00;',';quinta-feira;"');"
2045;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Feridas;',';03/05/2018;***;08:00:00;',';quinta-feira;"');"
2046;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';03/05/2018;***;07:50:00;',';quinta-feira;"');"
2047;,';Falta de Atenção à Condução;',';Queda de ocupante de veículo;',';Com Vítimas Feridas;',';03/05/2018;***;11:00:00;',';quinta-feira;"');"
2048;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';03/05/2018;***;07:50:00;',';quinta-feira;"');"
2049;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';03/05/2018;***;11:55:00;',';quinta-feira;"');"
2050;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';03/05/2018;***;13:15:00;',';quinta-feira;"');"
2051;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Fatais;',';03/05/2018;***;15:00:00;',';quinta-feira;"');"
2052;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';03/05/2018;***;13:30:00;',';quinta-feira;"');"
2053;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';03/05/2018;***;18:00:00;',';quinta-feira;"');"
2054;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',';03/05/2018;***;18:55:00;',';quinta-feira;"');"
2055;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';03/05/2018;***;19:30:00;',';quinta-feira;"');"
2056;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';03/05/2018;***;13:20:00;',';quinta-feira;"');"
2057;,';Não guardar distância de segurança;',';Colisão lateral;',';Com Vítimas Feridas;',';04/05/2018;***;01:25:00;',';sexta-feira;"');"
2058;,';Restrição de Visibilidade;',';Colisão lateral;',';Com Vítimas Feridas;',';04/05/2018;***;04:40:00;',';sexta-feira;"');"
2059;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';04/05/2018;***;07:25:00;',';sexta-feira;"');"
2060;,';Restrição de Visibilidade;',';Colisão traseira;',';Com Vítimas Feridas;',';04/05/2018;***;08:25:00;',';sexta-feira;"');"
2061;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';04/05/2018;***;10:34:00;',';sexta-feira;"');"
2062;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';04/05/2018;***;11:20:00;',';sexta-feira;"');"
2063;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';04/05/2018;***;10:00:00;',';sexta-feira;"');"
2064;,';Defeito Mecânico no Veículo;',';Queda de ocupante de veículo;',';Com Vítimas Feridas;',';06/04/2018;***;14:58:00;',';sexta-feira;"');"
2065;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';04/05/2018;***;18:00:00;',';sexta-feira;"');"
2066;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';04/05/2018;***;20:50:00;',';sexta-feira;"');"
2067;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';04/05/2018;***;22:00:00;',';sexta-feira;"');"
2068;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';04/05/2018;***;22:50:00;',';sexta-feira;"');"
2069;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';09/04/2018;***;18:40:00;',';segunda-feira;"');"
2070;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';04/05/2018;***;16:45:00;',';sexta-feira;"');"
2071;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';05/05/2018;***;04:32:00;',';sábado;"');"
2072;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Fatais;',';05/05/2018;***;03:55:00;',';sábado;"');"
2073;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';05/05/2018;***;05:35:00;',';sábado;"');"
2074;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';05/05/2018;***;06:30:00;',';sábado;"');"
2075;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';05/05/2018;***;11:29:00;',';sábado;"');"
2076;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Fatais;',';05/05/2018;***;09:30:00;',';sábado;"');"
2077;,';Falta de Atenção à Condução;',';Derramamento de carga;',';Sem Vítimas;',';05/05/2018;***;11:00:00;',';sábado;"');"
2078;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',';05/05/2018;***;21:05:00;',';sábado;"');"
2079;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';06/05/2018;***;07:35:00;',';domingo;"');"
2080;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';06/05/2018;***;11:48:00;',';domingo;"');"
2081;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';06/05/2018;***;14:55:00;',';domingo;"');"
2082;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',';06/05/2018;***;15:50:00;',';domingo;"');"
2083;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';07/05/2018;***;05:59:00;',';segunda-feira;"');"
2084;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',';07/05/2018;***;07:07:00;',';segunda-feira;"');"
2085;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',';15/04/2018;***;08:20:00;',';domingo;"');"
2086;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';03/04/2018;***;07:40:00;',';terça-feira;"');"
2087;,';Defeito Mecânico no Veículo;',';Colisão frontal;',';Com Vítimas Fatais;',';07/05/2018;***;07:00:00;',';segunda-feira;"');"
2088;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';07/05/2018;***;09:15:00;',';segunda-feira;"');"
2089;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';07/05/2018;***;11:20:00;',';segunda-feira;"');"
2090;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',';07/05/2018;***;12:00:00;',';segunda-feira;"');"
2091;,';Velocidade Incompatível;',';Colisão lateral;',';Com Vítimas Feridas;',';07/05/2018;***;12:00:00;',';segunda-feira;"');"
2092;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';11/04/2018;***;14:30:00;',';quarta-feira;"');"
2093;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';13/04/2018;***;09:40:00;',';sexta-feira;"');"
