id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data;;dia_semana;;horario;;
3344;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';06:20:00;"');";
3345;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';09:20:00;"');";
3346;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';12:05:00;"');";
3347;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';11:35:00;"');";
3348;,';Avarias e/ou desgaste excessivo no pneu;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';13:15:00;"');";
3349;,';Ultrapassagem Indevida;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';16:25:00;"');";
3350;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';19:10:00;"');";
3351;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';19:00:00;"');";
3352;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';22:25:00;"');";
3353;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';11/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';23:00:00;"');";
3354;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';07:00:00;"');";
3355;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';07/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';06:00:00;"');";
3356;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';15:07:00;"');";
3357;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';19:25:00;"');";
3358;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';18:50:00;"');";
3359;,';Velocidade Incompatível;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';14:20:00;"');";
3360;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';20:49:00;"');";
3361;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Com Vítimas Fatais;',TO_DATE(';12/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';23:25:00;"');";
3362;,';Ingestão de álcool e/ou substâncias psicoativas pelo pedestre;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';01:00:00;"');";
3363;,';Ingestão de Álcool;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';04:00:00;"');";
3364;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';06:30:00;"');";
3365;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Fatais;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';06:50:00;"');";
3366;,';Desobediência às normas de trânsito pelo condutor;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';10:05:00;"');";
3367;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';10:50:00;"');";
3368;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';13/07/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';19:45:00;"');";
3369;,';Restrição de Visibilidade;',';Atropelamento de Pedestre;',';Com Vítimas Fatais;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';18:35:00;"');";
3370;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Sem Vítimas;',TO_DATE(';13/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';18:15:00;"');";
3371;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';07:00:00;"');";
3372;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';09:30:00;"');";
3373;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';08:20:00;"');";
3374;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';08:58:00;"');";
3375;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';09:50:00;"');";
3376;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';27/06/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';13:20:00;"');";
3377;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';10:30:00;"');";
3378;,';Ingestão de Álcool;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';07:10:00;"');";
3379;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';13:25:00;"');";
3380;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';15:00:00;"');";
3381;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';14:40:00;"');";
3382;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:10:00;"');";
3383;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';17:35:00;"');";
3384;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';18:45:00;"');";
3385;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';19:00:00;"');";
3386;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';20:05:00;"');";
3387;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';22:40:00;"');";
3388;,';Não guardar distância de segurança;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';20:45:00;"');";
3389;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';00:15:00;"');";
3390;,';Velocidade Incompatível;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';06:45:00;"');";
3391;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';14/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';23:55:00;"');";
3392;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';09:00:00;"');";
3393;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';08:00:00;"');";
3394;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';09:40:00;"');";
3395;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';11:55:00;"');";
3396;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';13:46:00;"');";
3397;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';13:20:00;"');";
3398;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';16:20:00;"');";
3399;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';17:20:00;"');";
3400;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';17:40:00;"');";
3401;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';19:45:00;"');";
3402;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';15/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';16:40:00;"');";
3403;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';06:20:00;"');";
3404;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';05:35:00;"');";
3405;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';11:40:00;"');";
3406;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';12:00:00;"');";
3407;,';Mal Súbito;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';18:00:00;"');";
3408;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';19:10:00;"');";
3409;,';Ingestão de Álcool;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';16/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';19:20:00;"');";
3410;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';06:15:00;"');";
3411;,';Mal Súbito;',';Colisão com objeto estático;',';Com Vítimas Fatais;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';09:15:00;"');";
3412;,';Mal Súbito;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';11:47:00;"');";
3413;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';10/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';02:15:00;"');";
3414;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';14:22:00;"');";
3415;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';13:45:00;"');";
3416;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';15:00:00;"');";
3417;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';16:30:00;"');";
3418;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';02/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';16:00:00;"');";
3419;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';21:10:00;"');";
3420;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';19:00:00;"');";
3421;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';21:40:00;"');";
3422;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';22:45:00;"');";
3423;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';05:35:00;"');";
3424;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';17/08/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';17:15:00;"');";
3425;,';Ultrapassagem Indevida;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';09:50:00;"');";
3426;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';08:10:00;"');";
3427;,';Não guardar distância de segurança;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';09:40:00;"');";
3428;,';Defeito Mecânico no Veículo;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';11:20:00;"');";
3429;,';Desobediência às normas de trânsito pelo condutor;',';Queda de ocupante de veículo;',';Com Vítimas Fatais;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';11:40:00;"');";
3430;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';13:55:00;"');";
3431;,';Velocidade Incompatível;',';Capotamento;',';Com Vítimas Fatais;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';12:40:00;"');";
3432;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';17:45:00;"');";
3433;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';19:20:00;"');";
3434;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';20:35:00;"');";
3435;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';14:30:00;"');";
3436;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';18/08/2018;','DD/MM/YYYY'),';sábado;',TIME(';22:30:00;"');";
3437;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';19/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';05:05:00;"');";
3438;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';19/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';07:00:00;"');";
3439;,';Ultrapassagem Indevida;',';Colisão lateral;',';Com Vítimas Fatais;',TO_DATE(';31/07/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';05:40:00;"');";
3440;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';19/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';20:55:00;"');";
3441;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';19/08/2018;','DD/MM/YYYY'),';domingo;',TIME(';16:50:00;"');";
3442;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';01:39:00;"');";
3443;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';05:45:00;"');";
3444;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';08:20:00;"');";
3445;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';09:38:00;"');";
3446;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';08:10:00;"');";
3447;,';Defeito Mecânico no Veículo;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';13:15:00;"');";
3448;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Com Vítimas Fatais;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';14:55:00;"');";
3449;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';16:40:00;"');";
3450;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';17:20:00;"');";
3451;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';20/08/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';19:00:00;"');";
3452;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';00:15:00;"');";
3453;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';05:30:00;"');";
3454;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';07:20:00;"');";
3455;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';06:42:00;"');";
3456;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Fatais;',TO_DATE(';01/07/2018;','DD/MM/YYYY'),';domingo;',TIME(';06:05:00;"');";
3457;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';11:35:00;"');";
3458;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Sem Vítimas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:40:00;"');";
3459;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';11:15:00;"');";
3460;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:40:00;"');";
3461;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';14:20:00;"');";
3462;,';Falta de Atenção à Condução;',';Capotamento;',';Com Vítimas Fatais;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:20:00;"');";
3463;,';Restrição de Visibilidade;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:10:00;"');";
3464;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:10:00;"');";
3465;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';18:50:00;"');";
3466;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';17:10:00;"');";
3467;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';19:00:00;"');";
3468;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:35:00;"');";
3469;,';Carga excessiva e/ou mal acondicionada;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';19:00:00;"');";
3470;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';21/08/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';22:30:00;"');";
3471;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';03:30:00;"');";
3472;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';03:20:00;"');";
3473;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';07:30:00;"');";
3474;,';Ultrapassagem Indevida;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';07:25:00;"');";
3475;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';08:00:00;"');";
3476;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';10:20:00;"');";
3477;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';12:00:00;"');";
3478;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';12:00:00;"');";
3479;,';Defeito Mecânico no Veículo;',';Tombamento;',';Sem Vítimas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';12:50:00;"');";
3480;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';15:30:00;"');";
3481;,';Objeto estático sobre o leito carroçável;',';Colisão com objeto estático;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';14:00:00;"');";
3482;,';Defeito Mecânico no Veículo;',';Engavetamento;',';Sem Vítimas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';12:00:00;"');";
3483;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';16:40:00;"');";
3484;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';17:30:00;"');";
3485;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';14:30:00;"');";
3486;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';18:30:00;"');";
3487;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Fatais;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';20:36:00;"');";
3488;,';Desobediência às normas de trânsito pelo condutor;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';22/08/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';19:30:00;"');";
3489;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Fatais;',TO_DATE(';23/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';05:25:00;"');";
3490;,';Condutor Dormindo;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';23/08/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';06:55:00;"');";
